,Address,Building Name,Built On,Land Area,Number of Bathroom,Number of Bedroom,Price,Price per sqft,Tenure,Type,latitude,longitude
1462,70 Anchorvale Crescent,OLA,99-year Leasehold,775 sqft,2,2,"S$ 861,000 ","S$ 1,110.97 psf",Executive Condominium,New Project: 2023,1.3988467571,103.8913361963
1463,38 Carpmael Rd,Carpmael Thirty-eight,Freehold,1270 sqft,3,3,"S$ 1,905,843 ","S$ 1,500.66 psf",Condominium,New Project: 2020,,
1464,2 Woodleigh Lane,Park Colonial,99-year Leasehold,1249 sqft,4,4,"S$ 2,164,000 ","S$ 1,732.59 psf",Condominium,New Project: 2022,1.3377377736,103.8693875655
1465,539 Ang Mo Kio Avenue 10,539 Ang Mo Kio Avenue 10,1979,1270 sqft,2,3,"S$ 515,000 ",S$ 405.51 psf,99-year Leasehold,HDB Apartment,1.380132,103.8293685
1466,12 Dover Close East,12 Dover Close East,1977,1227 sqft,2,3,"S$ 750,000 ",S$ 611.25 psf,99-year Leasehold,HDB Apartment,1.304991,103.7858085
1467,8 Margate Road,8M Residences,2017,527 sqft,1,1,"S$ 1,199,000 ","S$ 2,275.14 psf",Freehold,Condominium,1.299321,103.8887775
1468,32 Segar Road,Blossom Residences,2014,1054 sqft,2,3,"S$ 888,000 ",S$ 842.50 psf,99-year Leasehold,Executive Condominium,1.3896,103.7694465
1469,60 Sengkang Square,La Fiesta,2016,840 sqft,2,3,"S$ 1,135,000 ","S$ 1,351.19 psf",99-year Leasehold,Condominium,1.389006,103.8948705
1470,247 Jurong East Street 24,247 Jurong East Street 24,1982,732 sqft,2,2,"S$ 259,000 ",S$ 353.83 psf,99-year Leasehold,HDB Apartment,1.341864,103.7391795
1471,70 Hougang Avenue 7,The Florida,2000,1389 sqft,3,3,"S$ 1,100,000 ",S$ 791.94 psf,99-year Leasehold,Condominium,1.373175,103.9005045
1472,1 Keppel Bay Drive,Corals @ Keppel Bay,2016,1561 sqft,2,3,"S$ 3,855,000 ","S$ 2,469.57 psf",99-year Leasehold,Condominium,1.264851,103.8165255
1473,175 Upper East Coast Road,Suites @ East Coast,2014,366 sqft,1,1,"S$ 598,888 ","S$ 1,636.31 psf",Freehold,Condominium,1.31283,103.92608
1474,311C Clementi Avenue 4,311C Clementi Avenue 4,2015,882 sqft,2,3,"S$ 888,000 ","S$ 1,006.80 psf",99-year Leasehold,HDB Apartment,1.3201019999999999,103.765572
1475,289A Bukit Batok Street 25,289A Bukit Batok Street 25,1996,1550 sqft,2,4,"S$ 728,000 ",S$ 469.68 psf,99-year Leasehold,HDB Apartment,1.344636,103.7605275
1476,48 Saint Thomas Walk,Espada,2013,640 sqft,1,2,"S$ 1,628,000 ","S$ 2,543.75 psf",Freehold,Condominium,1.297215,103.8368385
1477,712 Upper Changi Road East,Changi Green,2001,1001 sqft,2,2,"S$ 1,150,000 ","S$ 1,148.85 psf",Freehold,Condominium,1.344771,103.9638195
1478,413A Fernvale Link,413A Fernvale Link,2002,1023 sqft,2,3,"S$ 408,000 ",S$ 398.83 psf,99-year Leasehold,HDB Apartment,1.389303,103.878729
1479,21 Compassvale Road,The Luxurie,2015,883 sqft,2,2,"S$ 1,100,000 ","S$ 1,245.75 psf",99-year Leasehold,Condominium,1.389393,103.8962205
1480,505B Yishun St 51,3A @ 505B Yishun St 51,2016,731 sqft,2,2,"S$ 318,000 ",S$ 435.02 psf,99-year Leasehold,HDB Apartment,1.4192909999999999,103.84479
1481,108 Punggol Field,108 Punggol Field,2002,1194 sqft,2,3,"S$ 465,000 ",S$ 389.45 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
1482,131 Rivervale Street,131 Rivervale Street,1998,1001 sqft,2,3,"S$ 400,000 ",S$ 399.60 psf,99-year Leasehold,HDB Apartment,1.389348,103.903083
1483,115 Tampines Street 86,The Alps Residences,99-year Leasehold,936 sqft,2,3,"S$ 1,200,000 ","S$ 1,282.05 psf",Condominium,New Project: 2019,1.3533607216,103.9294014901
1484,82 Compassvale Bow,Sengkang Grand Residences,99-year Leasehold,474 sqft,1,1,"S$ 836,000 ","S$ 1,763.71 psf",Condominium,New Project: 2023,1.39735,103.89688
1485,780 Bedok Reservoir Road,Waterfront Key,2012,1464 sqft,3,3,"S$ 1,550,000 ","S$ 1,058.74 psf",99-year Leasehold,Condominium,1.34261,103.92539
1486,118 Lorong H Telok Kurau,The Verte,2012,1657 sqft,3,4,"S$ 2,280,000 ","S$ 1,375.98 psf",Freehold,Condominium,,
1487,16 Holland Hill,Parvis,2012,990 sqft,2,2,"S$ 2,180,000 ","S$ 2,202.02 psf",Freehold,Condominium,1.3092899961,103.8020800084
1488,268C Punggol Field,268C Punggol Field,2011,1022 sqft,2,3,"S$ 565,000 ",S$ 552.84 psf,99-year Leasehold,HDB Apartment,1.4049,103.90272
1489,10 Gopeng Street,Icon,2007,936 sqft,2,2,"S$ 1,750,000 ","S$ 1,869.66 psf",99-year Leasehold,Apartment,1.2751649999999999,103.844538
1490,347B Yishun Avenue 11,347B Yishun Avenue 11,2013,990 sqft,2,3,"S$ 495,000 ",S$ 500.00 psf,99-year Leasehold,HDB Apartment,1.427499,103.842378
1491,914 Tampines Street 91,914 Tampines Street 91,1983,785 sqft,2,2,"S$ 338,000 ",S$ 430.57 psf,99-year Leasehold,HDB Apartment,1.3490280000000001,103.939569
1492,Everton road,Sky Everton,2023,646 sqft,2,2,"S$ 1,707,000 ","S$ 2,642.41 psf",Freehold,Apartment,1.2757151965,103.8386461089
1493,5 Simei Street 3,Eastpoint Green,1998,1184 sqft,3,3,"S$ 970,000 ",S$ 819.26 psf,99-year Leasehold,Condominium,1.3385340000000001,103.950342
1494,449 Ang Mo Kio Avenue 10,449 Ang Mo Kio Avenue 10,1979,990 sqft,2,3,"S$ 339,000 ",S$ 342.42 psf,99-year Leasehold,HDB Apartment,1.380132,103.8293685
1495,22 Queen's Close,22 Queen's Close,1994,1140 sqft,2,3,"S$ 595,000 ",S$ 521.93 psf,99-year Leasehold,HDB Apartment,1.2935699999999999,103.7996235
1496,91 Prince Charles Crescent,Principal Garden,99-year Leasehold,796 sqft,2,2,"S$ 1,790,000 ","S$ 2,248.74 psf",Condominium,New Project: 2019,1.2920447049,103.8187570909
1497,3 Kenanga Avenue,Sennett Estate,1996,"3500 sqft, 2685 sqft (land)",5,5,"S$ 4,600,000 ","S$ 1,713.22 psf",Freehold,Corner Terrace,1.332657,103.8758265
1498,105 Towner Road,105 Towner Road,1984,796 sqft,2,2,"S$ 500,000 ",S$ 628.14 psf,99-year Leasehold,HDB Apartment,1.320813,103.8613455
1499,120 Serangoon Avenue 3,The Scala @ Lorong Chuan,2013,1528 sqft,2,3,"S$ 1,760,000 ","S$ 1,151.83 psf",99-year Leasehold,Condominium,1.3525200000000002,103.87036
1500,7A Lorong How Sun,Bartley Residences,2015,463 sqft,1,1,"S$ 699,000 ","S$ 1,509.72 psf",99-year Leasehold,Apartment,1.342881,103.880466
1501,5A Woodlands Road,The Tennery,2013,614 sqft,1,1,"S$ 820,000 ","S$ 1,335.50 psf",99-year Leasehold,Condominium,1.43585,103.78698
1502,25 Robin Road,2 bedder within 1 Km to SCGS / ACS,2016,538 sqft,1,2,"S$ 1,560,000 ","S$ 2,899.63 psf",Freehold,Apartment,1.3176269999999999,103.828572
1503,50 Tanah Merah Kechil Avenue,Casa Merah,2009,947 sqft,2,2,"S$ 1,208,000 ","S$ 1,275.61 psf",99-year Leasehold,Condominium,1.329741,103.945671
1504,Slim Barracks Rise,One-North Residences,2009,1320 sqft,2,3,"S$ 2,189,999 ","S$ 1,659.09 psf",99-year Leasehold,Apartment,1.30318102,103.7897599145
1505,134A Hillview Avenue,Hilltop Grove,2002,1238 sqft,3,3,"S$ 1,100,000 ",S$ 888.53 psf,99-year Leasehold,Condominium,1.357173,103.758714
1506,33 Pheng Geck Avenue,Sennett Residence,2016,592 sqft,1,1,"S$ 940,000 ","S$ 1,587.84 psf",99-year Leasehold,Condominium,1.3308659999999999,103.8694635
1507,2B Hong San Walk,Palm Gardens,2000,958 sqft,2,2,"S$ 838,888 ",S$ 875.67 psf,99-year Leasehold,Condominium,1.378152,103.74624
1508,Ernani street,Ernani Street,2020,"3815 sqft, 1600 sqft (land)",5,5,"S$ 3,800,000 ","S$ 2,375.00 psf",Freehold,Terraced House,1.319832,103.9256865
1509,136 Bedok Reservoir Road,136 Bedok Reservoir Road,1986,689 sqft,2,2,"S$ 328,000 ",S$ 476.05 psf,99-year Leasehold,HDB Apartment,1.33361,103.9131
1510,8 Whampoa East,Eight Riversuites,2016,1076 sqft,3,3,"S$ 1,620,000 ","S$ 1,505.58 psf",99-year Leasehold,Condominium,1.321209,103.8650355
1511,10 Alexandra View,Artra,99-year Leasehold,1410 sqft,3,3,"S$ 2,500,000 ","S$ 1,773.05 psf",Condominium,New Project: 2021,1.290527695,103.8165717508
1512,414A Fernvale Link,414A Fernvale Link,2014,1001 sqft,2,3,"S$ 480,000 ",S$ 479.52 psf,99-year Leasehold,HDB Apartment,1.3895819999999999,103.879476
1513,453 East Coast Road,Heritage East,2013,1367 sqft,2,2,"S$ 1,590,000 ","S$ 1,163.13 psf",Freehold,Apartment,1.3046600000000002,103.9042
1514,1 Pasir Ris Link,Seastrand,2014,882 sqft,2,2,"S$ 880,000 ",S$ 997.73 psf,99-year Leasehold,Condominium,1.376532,103.9607775
1515,3 Leedon Heights,D'leedon (former Farrer Court),2014,1981 sqft,4,4,"S$ 3,180,000 ","S$ 1,605.25 psf",99-year Leasehold,Condominium,1.314891,103.802274
1516,Greenleaf view playground,Wow 绿叶景区全新别墅 Greenleaf  View 近 Sixth Avenue Call 大胃 Now 81394988 Now!,2019,"7540 sqft, 4697 sqft (land)",6,5,"S$ 11,380,000 ","S$ 2,422.82 psf",Freehold,Bungalow House,1.3221259432,103.7856899008
1517,168 Sixth Avenue,The Sixth Avenue Residences,2010,1356 sqft,3,3,"S$ 2,515,000 ","S$ 1,854.72 psf",Freehold,Condominium,1.33088,103.79738
1518,193 Meyer Road,Aalto,2012,2443 sqft,4,5,"S$ 5,900,000 ","S$ 2,415.06 psf",Freehold,Condominium,1.302,103.85359
1519,21 Marina Way,Marina One Residences,2017,1163 sqft,2,2,"S$ 2,400,000 ","S$ 2,063.63 psf",99-year Leasehold,Condominium,1.276713,103.8533265
1520,157 Lorong 1 Toa Payoh,157 Lorong 1 Toa Payoh,1971,732 sqft,1,3,"S$ 320,000 ",S$ 437.16 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
1521,14 Flora Road,Azalea Park Condo,1996,1679 sqft,4,4,"S$ 1,500,000 ",S$ 893.39 psf,999-year Leasehold,Condominium,1.3602509999999999,103.9632975
1522,44 Bedok South Road,44 Bedok South Road,1977,904 sqft,1,3,"S$ 365,000 ",S$ 403.76 psf,99-year Leasehold,HDB Apartment,1.321119,103.941675
1523,119 West Coast Crescent,Seahill,99-year Leasehold,3649 sqft,5,4,"S$ 3,900,000 ","S$ 1,068.79 psf",Town House,New Project: 2019,1.2986550000000001,103.764114
1524,82 Dakota Crescent,Waterbank @ Dakota,2013,625 sqft,1,1,"S$ 1,180,000 ","S$ 1,888.00 psf",99-year Leasehold,Condominium,1.306683,103.889583
1525,515 Serangoon North Avenue 4,515 Serangoon North Avenue 4,1991,1334 sqft,2,3,"S$ 478,600 ",S$ 358.77 psf,99-year Leasehold,HDB Apartment,1.37106,103.873689
1526,208 Pasir Ris Street 21,208 Pasir Ris Street 21,1993,1592 sqft,2,4,"S$ 560,000 ",S$ 351.76 psf,99-year Leasehold,HDB Apartment,1.366146,103.962051
1527,16 Spottiswoode Park Road,Spottiswoode Suites,2017,441 sqft,1,1,"S$ 1,180,000 ","S$ 2,675.74 psf",Freehold,Condominium,1.27602,103.837491
1528,Jalan Lim Tai See,Off Sixth Ave,2000,"4100 sqft, 3300 sqft (land)",6,5,"S$ 5,600,000 ","S$ 1,696.97 psf",Freehold,Semi-Detached House,,
1529,223 Lorong 8 Toa Payoh,223 Lorong 8 Toa Payoh,1975,1259 sqft,2,3,"S$ 510,000 ",S$ 405.08 psf,99-year Leasehold,HDB Apartment,1.33448,103.85108
1530,21 Stirling Road,Stirling Residences,99-year Leasehold,635 sqft,1,2,"S$ 1,145,000 ","S$ 1,803.15 psf",Apartment,New Project: 2022,1.29621,103.80361
1531,550 Yishun Ave 6,Lilydale,2003,1259 sqft,3,3,"S$ 890,000 ",S$ 706.91 psf,99-year Leasehold,Condominium,1.423926,103.8493305
1532,61 Flora Drive,The Inflora,2017,1464 sqft,4,4,"S$ 1,390,000 ",S$ 949.45 psf,99-year Leasehold,Condominium,1.356354,103.9668885
1533,16 Gambir Walk,Gambir Ridge (formerly Bartley Terrace,2015,926 sqft,2,3,"S$ 1,350,000 ","S$ 1,457.88 psf",Freehold,Condominium,1.344384,103.8754395
1534,Punggol Way,112 sqm Punggol MRT Just MOP High floor 5 rm flat,2015,1206 sqft,2,3,"S$ 678,000 ",S$ 562.19 psf,99-year Leasehold,HDB Apartment,1.41073,103.89768
1535,928 Tampines Street 91,928 Tampines Street 91,1983,1098 sqft,2,3,"S$ 440,000 ",S$ 400.73 psf,99-year Leasehold,HDB Apartment,1.345977,103.9402125
1536,1 Keppel Bay View,Reflections at Keppel Bay,2013,1421 sqft,2,2,"S$ 2,380,000 ","S$ 1,674.88 psf",99-year Leasehold,Condominium,1.268163,103.814379
1537,Slim Barracks Rise,One-north Residences,2009,3100 sqft,4,5,"S$ 3,700,000 ","S$ 1,193.55 psf",99-year Leasehold,Apartment,1.30318102,103.7897599145
1538,687B Woodlands Drive 75,687B Woodlands Drive 75,2001,1020 sqft,2,3,"S$ 428,000 ",S$ 419.61 psf,99-year Leasehold,HDB Apartment,1.441881,103.807161
1539,93 Yishun Street 81,Orchid Park Condo,1994,1249 sqft,3,3,"S$ 930,000 ",S$ 744.60 psf,99-year Leasehold,Condominium,1.412352,103.83507
1540,105 Hillview Rise,Kingsford Hillview Peak,2016,615 sqft,1,1,"S$ 900,000 ","S$ 1,463.41 psf",99-year Leasehold,Condominium,1.3647960000000001,103.763592
1541,20 Guillemard Crescent,Arena Residences,Freehold,883 sqft,3,3,"S$ 1,669,000 ","S$ 1,890.15 psf",Condominium,New Project: 2022,1.3093710638,103.8809760784
1542,Jalan Eunos,Euhabitat,2016,3380 sqft,4,4,"S$ 3,200,000 ",S$ 946.75 psf,99-year Leasehold,Condominium,1.32084,103.8998
1543,277 Tampines Street 22,277 Tampines Street 22,1983,1162 sqft,2,3,"S$ 440,000 ",S$ 378.66 psf,99-year Leasehold,HDB Apartment,1.3472819999999999,103.9511925
1544,68 Sengkang Square,La Fiesta,2016,732 sqft,2,2,"S$ 940,000 ","S$ 1,284.15 psf",99-year Leasehold,Condominium,1.389726,103.8951765
1545,1 Keppel Bay Drive,Corals @ Keppel Bay,2016,581 sqft,1,1,"S$ 1,450,000 ","S$ 2,495.70 psf",99-year Leasehold,Condominium,1.264851,103.8165255
1546,5 Shenton Way,V On Shenton,2017,1755 sqft,3,3,"S$ 3,480,000 ","S$ 1,982.91 psf",99-year Leasehold,Condominium,1.2776939999999999,103.849551
1547,738 Bedok Reservoir Road,Waterfront Isle,2015,915 sqft,2,2,"S$ 1,060,000 ","S$ 1,158.47 psf",99-year Leasehold,Condominium,1.34261,103.92539
1548,176 Lompang Road,176 Lompang Road,1996,1087 sqft,2,3,"S$ 550,000 ",S$ 505.98 psf,99-year Leasehold,HDB Apartment,1.379241,103.7658825
1549,1 Jalan Remaja,Mont Botanik Residence,Freehold,689 sqft,2,2,"S$ 1,094,200 ","S$ 1,588.10 psf",Condominium,New Project: 2023,1.35768,103.76092
1550,160 Haig Road,Haig Court,2004,1453 sqft,2,3,"S$ 2,350,000 ","S$ 1,617.34 psf",Freehold,Condominium,1.3063500000000001,103.897782
1551,2 Kim Yam Road,The Iveria,Freehold,915 sqft,3,3,"S$ 2,368,000 ","S$ 2,587.98 psf",Condominium,New Project: 2023,1.295154,103.8385215
1552,8 Kitchener Link,City Square Residences,2009,1216 sqft,3,3,"S$ 1,880,000 ","S$ 1,546.05 psf",Freehold,Condominium,1.310706,103.858029
1553,31 Boon Teck Road,D'mira,2013,968 sqft,2,2,"S$ 1,299,990 ","S$ 1,342.96 psf",Freehold,Condominium,1.32741,103.849938
1554,285 Tampines Street 22,285 Tampines Street 22,1983,796 sqft,2,2,"S$ 318,000 ",S$ 399.50 psf,99-year Leasehold,HDB Apartment,1.350009,103.952817
1555,747C Bedok Reservoir Crescent,747C Bedok Reservoir Crescent,2014,936 sqft,2,3,"S$ 720,000 ",S$ 769.23 psf,99-year Leasehold,HDB Apartment,1.3367879999999999,103.921983
1556,20 Jansen Road,Mint Residences @ Jansen,2008,721 sqft,1,2,"S$ 868,000 ","S$ 1,203.88 psf",999-year Leasehold,Apartment,1.359945,103.8775005
1557,2 Fourth Avenue,Fourth Avenue Residences,99-year Leasehold,624 sqft,1,2,"S$ 1,368,000 ","S$ 2,192.31 psf",Condominium,New Project: 2022,1.3289226072,103.797050016
1558,11L Toh Tuck Road,Daintree Residence,99-year Leasehold,538 sqft,1,1,"S$ 916,900 ","S$ 1,704.28 psf",Apartment,New Project: 2021,,
1559,271A Punggol Walk,271A Punggol Walk,2012,1001 sqft,2,3,"S$ 505,000 ",S$ 504.50 psf,99-year Leasehold,HDB Apartment,1.403604,103.900455
1560,Serangoon North Avenue 1,Affinity At Serangoon,99-year Leasehold,474 sqft,1,1,"S$ 741,000 ","S$ 1,563.29 psf",Condominium,New Project: 2024,1.369674,103.8709055722
1561,57 Geylang Bahru,57 Geylang Bahru,1974,818 sqft,2,3,"S$ 340,000 ",S$ 415.65 psf,99-year Leasehold,HDB Apartment,1.32298,103.87001
1562,8 Martin Place,Martin Modern,99-year Leasehold,1421 sqft,3,3,"S$ 3,590,000 ","S$ 2,526.39 psf",Condominium,New Project: 2021,1.293354,103.838454
1563,5 Lorong 39 Geylang,D'weave,2015,549 sqft,1,2,"S$ 800,000 ","S$ 1,457.19 psf",Freehold,Condominium,1.315539,103.8904605
1564,12 Jelebu Road,Hillion Residences,2018,463 sqft,1,1,"S$ 750,000 ","S$ 1,619.87 psf",99-year Leasehold,Condominium,1.378665,103.7639565
1565,102 Rivervale Walk,102 Rivervale Walk,1998,1528 sqft,3,4,"S$ 648,000 ",S$ 424.08 psf,99-year Leasehold,HDB Apartment,1.381806,103.9008915
1566,Jalan Lim Tai See,Estrivillas,2015,"4333 sqft, 1000 sqft (land)",6,5,"S$ 3,400,000 ","S$ 3,400.00 psf",Freehold,Terraced House,,
1567,35 Lorong Ong Lye,Casa Rosa,2001,2045 sqft,2,3,"S$ 1,550,000 ",S$ 757.95 psf,99-year Leasehold,Condominium,1.346238,103.8796425
1568,47 Hume Avenue,Parc Palais,2000,1238 sqft,3,3,"S$ 1,500,000 ","S$ 1,211.63 psf",Freehold,Condominium,1.357533,103.7662605
1569,10C Toh Tuck Crecent,Excellent Ready to move in Condition,1992,"2500 sqft, 1711 sqft (land)",3,4,"S$ 1,880,000 ","S$ 1,098.77 psf",99-year Leasehold,Terraced House,,
1570,2 Hougang Street 32,Parc Vera,2015,1141 sqft,3,3,"S$ 1,150,000 ","S$ 1,007.89 psf",99-year Leasehold,Condominium,1.3637700000000001,103.895316
1571,2 Kandis Link,Kandis Residence,99-year Leasehold,775 sqft,2,2,"S$ 919,400 ","S$ 1,186.32 psf",Condominium,New Project: 2021,1.28889,103.81216
1572,3 Orchard Boulevard,3 Orchard By-The-Park,2017,1066 sqft,2,2,"S$ 3,517,800 ","S$ 3,300.00 psf",Freehold,Condominium,1.303542,103.824684
1573,1 Alexandra View,Ascentia Sky,2014,1475 sqft,3,3,"S$ 2,500,000 ","S$ 1,694.92 psf",99-year Leasehold,Apartment,1.290951,103.8170025
1574,1 Elliot Road,Elliot @ The East Coast,2013,2540 sqft,4,4,"S$ 2,900,000 ","S$ 1,141.73 psf",Freehold,Condominium,1.311435,103.9302675
1575,11A Toh Tuck Road,Daintree Residence,99-year Leasehold,667 sqft,2,2,"S$ 1,094,750 ","S$ 1,641.30 psf",Condominium,New Project: 2021,,
1576,21 Seletar Road,Seletar Park Residence,2014,1992 sqft,2,2,"S$ 1,550,000 ",S$ 778.11 psf,99-year Leasehold,Condominium,1.385676,103.8697515
1577,35 Daisy Road Singapore,Daisy Suites,2015,1033 sqft,2,3,"S$ 1,285,000 ","S$ 1,243.95 psf",Freehold,Apartment,1.34379,103.868451
1578,348A Yishun Avenue 11,348A Yishun Avenue 11,2013,990 sqft,2,3,"S$ 575,000 ",S$ 580.81 psf,99-year Leasehold,HDB Apartment,1.427355,103.841217
1579,30 Segar Road,Blossom Residences,2014,969 sqft,2,3,"S$ 910,000 ",S$ 939.11 psf,99-year Leasehold,Executive Condominium,1.389348,103.770297
1580,87 Flora Drive,Hedges Park Condo,2015,872 sqft,2,3,"S$ 870,000 ",S$ 997.71 psf,99-year Leasehold,Condominium,1.354635,103.967838
1581,16 Gambir Walk,Gambir Ridge (formerly Bartley Terrace,2015,968 sqft,3,3,"S$ 1,300,000 ","S$ 1,342.98 psf",Freehold,Condominium,1.344384,103.8754395
1582,187 Tanjong Rhu Road,Sanctuary Green,2003,1399 sqft,4,3,"S$ 1,950,000 ","S$ 1,393.85 psf",99-year Leasehold,Condominium,1.295991,103.8706605
1583,210B Punggol Place,210B Punggol Place,2013,721 sqft,2,2,"S$ 365,000 ",S$ 506.24 psf,99-year Leasehold,HDB Apartment,1.4001839999999999,103.900095
1584,651 Jalan Tenaga,651 Jalan Tenaga,1995,1432 sqft,2,3,"S$ 605,000 ",S$ 422.49 psf,99-year Leasehold,HDB Apartment,,
1585,12 Simei Street 1,Melville Park,1996,1345 sqft,3,4,"S$ 895,888 ",S$ 666.09 psf,99-year Leasehold,Apartment,1.348074,103.958784
1586,9 Alexandra View,Echelon,2016,1292 sqft,3,3,"S$ 2,476,000 ","S$ 1,916.41 psf",99-year Leasehold,Condominium,1.290591,103.8177315
1587,58 Sengkang Square,La Fiesta,2016,732 sqft,2,2,"S$ 960,000 ","S$ 1,311.48 psf",99-year Leasehold,Condominium,1.388934,103.895082
1588,314 Shunfu Road,Jadescape,99-year Leasehold,646 sqft,2,2,"S$ 1,149,500 ","S$ 1,779.41 psf",Condominium,New Project: 2023,1.351764,103.8382515
1589,17 Jalan Rajah,Skysuites 17,2015,1066 sqft,3,3,"S$ 1,560,000 ","S$ 1,463.41 psf",Freehold,Apartment,,
1590,29 Pasir Ris Link,Watercolours,2016,915 sqft,2,3,"S$ 799,000 ",S$ 873.22 psf,99-year Leasehold,Executive Condominium,1.376217,103.959522
1591,49 Jurong East Avenue 1,Parc Oasis,1995,1227 sqft,3,3,"S$ 1,200,000 ",S$ 978.00 psf,99-year Leasehold,Condominium,1.343682,103.7328435
1592,79 Meyer Road,Meyer Mansion,Freehold,1765 sqft,4,4,"S$ 4,732,800 ","S$ 2,681.47 psf",Condominium,New Project: 2023,1.302,103.85359
1593,,Seaside Residences,99-year Leasehold,1259 sqft,2,3,"S$ 2,228,520 ","S$ 1,770.07 psf",Condominium,New Project: 2021,,
1594,Punggol Field Walk,Flo Residence,2016,861 sqft,2,2,"S$ 810,000 ",S$ 940.77 psf,99-year Leasehold,Condominium,1.3925803468,103.9129700573
1595,17 Pasir Ris Link,Seastrand,2014,571 sqft,1,1,"S$ 680,000 ","S$ 1,190.89 psf",99-year Leasehold,Condominium,1.376172,103.9604895
1596,21 Stirling Road,Stirling Residences,99-year Leasehold,689 sqft,2,2,"S$ 1,160,000 ","S$ 1,683.60 psf",Condominium,New Project: 2022,1.29621,103.80361
1597,MIDDLE ROAD,THE M,2024,409 sqft,1,1,"S$ 880,000 ","S$ 2,151.59 psf",99-year Leasehold,Condominium,1.2994527049,103.852861492
1598,596B Ang Mo Kio Street 52,596B Ang Mo Kio Street 52,2000,914 sqft,2,3,"S$ 700,000 ",S$ 765.86 psf,99-year Leasehold,HDB Apartment,1.37205,103.8505455
1599,13 Leedon Heights,D'leedon (former Farrer Court),2014,860 sqft,2,2,"S$ 1,500,000 ","S$ 1,744.19 psf",99-year Leasehold,Condominium,1.315863,103.803669
1600,543 Dunman Road,Questa @ Dunman,2014,786 sqft,2,2,"S$ 1,250,000 ","S$ 1,590.33 psf",Freehold,Condominium,1.310076,103.8965985
1601,723 Bedok Reservoir Road,723 Bedok Reservoir Road,1983,1475 sqft,2,3,"S$ 610,000 ",S$ 413.56 psf,99-year Leasehold,HDB Apartment,1.34261,103.92539
1602,91 Compassvale Bow,Jewel @ Buangkok,2017,936 sqft,2,3,"S$ 1,350,000 ","S$ 1,442.31 psf",99-year Leasehold,Condominium,1.39735,103.89688
1603,112 Tampines Street 11,112 Tampines Street 11,1981,820 sqft,2,2,"S$ 380,000 ",S$ 463.41 psf,99-year Leasehold,HDB Apartment,1.346301,103.9475115
1604,5 Rhu Cross,Costa Rhu,1998,1012 sqft,2,2,"S$ 1,350,000 ","S$ 1,333.99 psf",99-year Leasehold,Condominium,1.295973,103.8664305
1605,Springside Avenue,Brooks Signature @ Springside,2016,"3864 sqft, 2696 sqft (land)",7,5,"S$ 3,730,000 ","S$ 1,383.53 psf",Freehold,Terraced House,1.4046300478,103.8196800111
1606,2 Fourth Avenue,Fourth Avenue Residences,99-year Leasehold,915 sqft,2,3,"S$ 2,100,000 ","S$ 2,295.08 psf",Condominium,New Project: 2022,1.3289226072,103.797050016
1607,21 Stirling Road,Stirling Residences,99-year Leasehold,786 sqft,2,2,"S$ 1,497,000 ","S$ 1,904.58 psf",Apartment,New Project: 2022,1.29621,103.80361
1608,32 Sturdee Road,Kerrisdale,2006,1270 sqft,2,3,"S$ 1,649,000 ","S$ 1,298.43 psf",99-year Leasehold,Condominium,1.31328,103.858047
1609,2 Rivervale Link,Park Green,2005,1937 sqft,4,4,"S$ 1,588,800 ",S$ 820.24 psf,99-year Leasehold,Condominium,1.380213,103.8998565
1610,,"1 Champions Way, (Woodlands) Singapore 737913",1995,"5700 sqft, 6103 sqft (land)",3,6,"S$ 3,500,000 ",S$ 573.49 psf,99-year Leasehold,Bungalow House,,
1611,111 Clementi Street 13,111 Clementi Street 13,1983,1582 sqft,3,3,"S$ 800,000 ",S$ 505.69 psf,99-year Leasehold,HDB Apartment,1.323207,103.7711295
1612,Sengkang West Way/Fernvale,Riverbank @ Fernvale,2017,1044 sqft,3,3,"S$ 1,200,000 ","S$ 1,149.43 psf",99-year Leasehold,Condominium,1.395794644,103.8792038641
